Date,Close
2022-07-08,12.782
2022-07-11,12.7906
2022-07-14,12.6136
2022-07-15,12.5809
2022-07-19,12.5527
2022-07-20,12.581
2022-07-22,12.6739
2022-07-25,12.725
2022-07-27,12.7984
2022-08-01,12.8825
2022-08-02,12.88
2022-08-03,12.8932
2022-08-04,12.8904
2022-08-08,12.9971
2022-08-09,13.0547
2022-08-10,13.0611
2022-08-11,13.1007
2022-08-15,13.0943
2022-08-17,13.1923
2022-08-18,13.1687
2022-08-19,13.1311
2022-08-22,13.0522
2022-08-23,13.1803
2022-08-25,13.2646
2022-08-26,13.2791
2022-08-29,13.1856
2022-08-30,13.3148
2022-08-31,13.3268
2022-09-02,13.2058
2022-09-05,13.2059
2022-09-06,13.2632
2022-09-07,13.2616
2022-09-08,13.2604
2022-09-12,13.4075
2022-09-13,13.4193
2022-09-14,13.3875
2022-09-15,13.3101
2022-09-16,13.2105
2022-09-20,13.2734
2022-09-21,13.255
2022-09-22,13.3075
2022-09-23,13.2583
2022-09-26,13.1541
2022-09-28,12.9905
2022-09-29,12.8904
2022-09-30,12.8579
2022-10-03,12.5963
2022-10-04,12.7109
2022-10-06,12.7996
2022-10-07,12.739
2022-10-10,12.6492
2022-10-11,12.5806
2022-10-12,12.5898
2022-10-18,12.7889
2022-10-19,12.8125
2022-10-20,12.9233
2022-10-21,12.8916
2022-10-25,12.9141
2022-10-27,13.0605
2022-10-28,13.0578
2022-10-31,13.1006
2022-11-01,13.1979
2022-11-02,13.2037
2022-11-04,13.2148
2022-11-07,13.1775
2022-11-08,13.2391
2022-11-09,13.1724
2022-11-10,13.1624
2022-11-14,13.2004
2022-11-15,13.2547
2022-11-16,13.1833
2022-11-17,13.1529
2022-11-18,13.162
2022-11-22,13.1664
2022-11-23,13.2178
2022-11-24,13.2334
2022-11-25,13.1941
2022-11-28,13.1653
2022-11-29,13.2404
2022-11-30,13.3245
2022-12-01,13.3774
2022-12-02,13.3193
2022-12-06,13.2896
2022-12-07,13.2741
2022-12-08,13.2847
2022-12-09,13.2954
2022-12-13,13.3263
2022-12-14,13.3884
2022-12-15,13.2985
2022-12-16,13.314
2022-12-19,13.3023
2022-12-20,13.2081
2022-12-21,13.1976
2022-12-22,13.2814
2022-12-23,13.2836
2022-12-26,13.3376
2022-12-27,13.4933
2022-12-28,13.5219
2022-12-29,13.6212
2022-12-30,13.5738
2023-01-03,13.5782
2023-01-04,13.5642
2023-01-05,13.5656
2023-01-06,13.6636
2023-01-09,13.881
2023-01-10,13.8871
2023-01-11,13.7886
2023-01-12,13.7859
2023-01-13,13.7849
2023-01-16,13.7897
2023-01-17,13.7784
2023-01-18,13.7998
2023-01-19,13.8158
2023-01-20,13.682
2023-01-23,13.7101
2023-01-24,13.7362
2023-01-25,13.7117
2023-01-26,13.6516
2023-01-27,13.7527
2023-01-30,13.7411
2023-01-31,13.6646
2023-02-01,13.7799
2023-02-02,13.7478
2023-02-03,13.7657
2023-02-06,13.7197
2023-02-07,13.6517
2023-02-08,13.6128
2023-02-09,13.6274
2023-02-10,13.6099
2023-02-13,13.6447
2023-02-15,13.4956
2023-02-16,13.5278
2023-02-17,13.4915
2023-02-20,13.5833
2023-02-22,13.5737
2023-02-24,13.4217
2023-02-28,13.3081
2023-03-01,13.2211
2023-03-02,13.1515
2023-03-07,13.2373
2023-03-08,13.2087
2023-03-09,13.2483
2023-03-13,12.8982
2023-03-14,12.5416
2023-03-15,12.8603
2023-03-16,12.7792
2023-03-17,12.8471
2023-03-20,12.7774
2023-03-21,12.9476
2023-03-23,13.0781
2023-03-24,13.0638
2023-03-27,13.0663
2023-03-28,13.2314
2023-03-29,13.2129
2023-03-30,13.1034
2023-03-31,13.0564
2023-04-03,13.1317
2023-04-04,13.0805
2023-04-07,12.9885
2023-04-10,13.1164
2023-04-11,13.1858
2023-04-12,13.1796
2023-04-17,13.2471
2023-04-18,13.2104
2023-04-19,13.1139
2023-04-21,12.9846
2023-04-24,12.9522
2023-04-25,12.8081
2023-04-27,12.8695
2023-04-28,12.8839
2023-05-02,12.848
2023-05-08,13.134
2023-05-09,13.1983
2023-05-10,13.2688
2023-05-11,13.2103
2023-05-12,13.1634
2023-05-16,12.9197
2023-05-17,12.7861
2023-05-18,12.7944
2023-05-19,12.6685
2023-05-22,12.7374
2023-05-24,12.8361
2023-05-25,12.7889
2023-05-26,12.7495
2023-05-29,12.8336
2023-05-30,12.8301
2023-06-01,12.7115
2023-06-02,12.7749
2023-06-06,12.7048
2023-06-07,12.7176
2023-06-08,12.9055
2023-06-12,12.8658
2023-06-13,12.9287
2023-06-14,12.8996
2023-06-15,12.7915
2023-06-16,12.7757
2023-06-20,12.737
2023-06-21,12.6347
2023-06-22,12.5189
2023-06-23,12.4748
2023-06-26,12.3873
2023-06-28,12.2347
2023-06-29,12.3184
2023-06-30,12.5071
2023-07-03,12.5321
2023-07-04,12.5935
2023-07-06,12.3564
2023-07-07,12.3219
2023-07-10,12.359
2023-07-11,12.3586
2023-07-12,12.3216
2023-07-14,12.4834
2023-07-17,12.5834
2023-07-18,12.6165
2023-07-19,12.6355
2023-07-20,12.4995
2023-07-24,12.4565
2023-07-25,12.4774
2023-07-26,12.4635
2023-07-27,12.6049
2023-07-31,12.6695
2023-08-03,12.451
2023-08-04,12.4608
2023-08-07,12.4767
2023-08-08,12.3592
2023-08-09,12.5438
2023-08-11,12.6538
2023-08-15,12.5863
2023-08-16,12.5676
2023-08-17,12.6262
2023-08-18,12.6055
2023-08-22,12.7961
2023-08-23,12.8441
2023-08-24,12.816
2023-08-25,12.864
2023-08-28,12.867
2023-08-30,12.9708
2023-08-31,12.8686
2023-09-01,12.8259
2023-09-04,12.722
2023-09-05,12.7002
2023-09-07,12.7625
2023-09-08,12.7451
2023-09-11,12.7218
2023-09-12,12.7408
2023-09-13,12.7038
2023-09-15,12.7096
2023-09-18,12.6231
2023-09-19,12.5851
2023-09-20,12.4675
2023-09-21,12.5168
2023-09-25,12.4764
2023-09-26,12.3854
2023-09-27,12.4336
2023-09-28,12.3272
2023-09-29,12.3968
2023-10-03,12.2251
2023-10-04,12.2921
2023-10-05,12.2686
2023-10-06,12.1858
2023-10-11,12.2844
2023-10-12,12.2661
2023-10-16,12.094
2023-10-18,12.1991
2023-10-20,11.9492
2023-10-25,11.9301
2023-10-26,11.7582
2023-10-27,11.8644
2023-10-31,11.8144
2023-11-01,11.7663
2023-11-02,11.9151
2023-11-06,11.9999
2023-11-08,11.9615
2023-11-09,11.9064
2023-11-10,11.8432
2023-11-13,11.8009
2023-11-14,11.8118
2023-11-16,11.9935
2023-11-17,11.9932
2023-11-20,11.9937
2023-11-21,12.0142
2023-11-22,11.9772
2023-11-24,11.8632
2023-11-27,11.8197
2023-11-28,11.8608
2023-11-30,11.7143
2023-12-04,11.7359
2023-12-06,11.7707
2023-12-07,11.7007
2023-12-08,11.6772
2023-12-12,11.6371
2023-12-14,11.649
2023-12-15,11.7683
2023-12-18,11.7582
2023-12-20,11.8047
2023-12-22,11.8261
2023-12-26,11.8738
2023-12-27,11.8634
2023-12-28,11.9386
2024-01-03,11.9576
2024-01-05,11.9715
2024-01-08,11.8994
2024-01-16,11.7645
2024-01-17,11.6163
2024-01-23,11.4621
2024-01-24,11.6377
2024-01-29,11.6365
2024-01-31,11.5238
2024-02-01,11.5447
2024-02-02,11.6601
2024-02-08,11.7
2024-02-09,11.6895
2024-02-12,11.6798
2024-02-14,11.6695
2024-02-16,11.7193
2024-02-19,11.7434
2024-02-21,11.887
2024-02-22,11.9434
2024-02-27,11.9366
2024-02-28,11.8873
2024-02-29,11.8092
2024-03-01,11.8168
2024-03-06,11.8685
2024-03-07,11.8958
2024-03-11,11.9047
2024-03-12,11.8994
2024-03-15,11.996
2024-03-18,11.9792
2024-03-19,11.9811
2024-03-20,11.9012
2024-03-26,11.8229
2024-03-27,11.862
2024-03-28,11.7963
2024-04-02,11.8391
2024-04-04,11.8388
2024-04-11,12.0044
2024-04-18,11.7605
2024-04-19,11.557
2024-04-24,11.7816
2024-04-25,11.8173
2024-04-26,11.749
2024-04-29,11.7822
2024-05-03,11.851
2024-05-08,11.8792
2024-05-09,11.9133
2024-05-14,11.9966
2024-05-15,11.9348
2024-05-16,11.9771
2024-05-17,12.0214
2024-05-23,11.8796
2024-05-24,11.8732
2024-05-27,11.8855
2024-05-28,11.844
2024-05-31,11.6757
2024-06-05,11.6149
2024-06-06,11.537
2024-06-11,11.4533
2024-06-12,11.4577
2024-06-13,11.4158
2024-06-19,11.3283
2024-06-20,11.2683
2024-06-21,11.3213
2024-06-27,11.3278
2024-06-28,11.2646
2024-07-01,11.2492
2024-07-05,11.3233
2024-07-08,11.3753
2024-07-09,11.3697
2024-07-15,11.4541
2024-07-16,11.4015
2024-07-17,11.428
2024-07-24,11.2816
2024-07-25,11.2678
2024-07-26,11.3845
2024-08-02,11.4304
2024-08-05,11.1535
2024-08-06,11.1331
2024-08-13,11.3239
2024-08-14,11.2245
2024-08-15,11.176
2024-08-21,11.6247
2024-08-22,11.6284
2024-08-23,11.7558
2024-08-29,11.7842
2024-08-30,11.7912
2024-09-02,11.7366
2024-09-06,12.4638
2024-09-09,12.4782
2024-09-10,12.4531
2024-09-16,12.4968
2024-09-17,12.5161
2024-09-18,12.492
2024-09-24,12.6857
2024-09-25,12.6812
2024-09-26,12.6677
2024-10-02,12.6388
2024-10-03,12.5815
2024-10-04,12.6126
2024-10-10,12.8187
2024-10-11,12.8479
2024-10-15,12.8064
2024-10-17,13.0564
2024-10-21,12.9842
2024-10-22,12.8094
2024-10-24,12.7034
2024-10-28,12.6505
2024-10-30,12.5835
2024-10-31,12.7376
2024-11-01,12.7348
2024-11-05,12.8631
2024-11-07,12.7395
2024-11-08,12.6979
2024-11-11,12.6174
2024-11-13,12.5435
2024-11-15,12.3942
2024-11-18,12.4778
2024-11-19,12.5258
2024-11-21,12.4395
2024-11-25,12.4607
2024-11-26,12.3774
2024-11-27,12.2982
2024-11-29,12.2684
2024-12-03,12.572
2024-12-04,12.5358
2024-12-06,12.5422
2024-12-11,12.4683
2024-12-13,12.3466
2024-12-16,12.1891
2024-12-17,11.9477
2024-12-19,11.7685
2024-12-23,11.8997
2024-12-24,11.9656
2024-12-25,11.9889
2024-12-27,11.986

